State,Commodity,Arrival_Date,Min_Price,Max_Price,Modal_Price
Uttar Pradesh,Bajra(Pearl Millet/Cumbu),06-11-2002,510,530,525
Uttar Pradesh,Rice,06-11-2002,875,920,900
Uttar Pradesh,Wheat,06-11-2002,625,650,640
Uttar Pradesh,Barley (Jau),06-11-2002,660,680,675
Uttar Pradesh,Bajra(Pearl Millet/Cumbu),23-11-2002,530,550,545
Uttar Pradesh,Barley (Jau),23-11-2002,660,700,675
Uttar Pradesh,Wheat,23-11-2002,650,675,665
Uttar Pradesh,Rice,23-11-2002,875,940,900
Uttar Pradesh,Bajra(Pearl Millet/Cumbu),27-11-2002,530,555,545
Uttar Pradesh,Wheat,27-11-2002,655,670,660
Uttar Pradesh,Rice,27-11-2002,900,940,925
Uttar Pradesh,Barley (Jau),27-11-2002,670,715,700
Uttar Pradesh,Wheat,03-12-2002,650,675,670
Uttar Pradesh,Barley (Jau),03-12-2002,690,715,700
Uttar Pradesh,Bajra(Pearl Millet/Cumbu),03-12-2002,520,535,530
Uttar Pradesh,Rice,03-12-2002,900,960,925
Uttar Pradesh,Bajra(Pearl Millet/Cumbu),06-12-2002,525,540,535
Uttar Pradesh,Barley (Jau),06-12-2002,675,725,700
Uttar Pradesh,Wheat,06-12-2002,665,680,675
Uttar Pradesh,Rice,06-12-2002,900,950,925
Uttar Pradesh,Bajra(Pearl Millet/Cumbu),10-12-2002,500,550,540
Uttar Pradesh,Wheat,10-12-2002,660,680,675
Uttar Pradesh,Barley (Jau),10-12-2002,725,750,740
Uttar Pradesh,Rice,10-12-2002,800,950,920
Maharashtra,Wheat,30-12-2002,700,961,831
Maharashtra,Bajra(Pearl Millet/Cumbu),30-12-2002,500,621,561
Uttar Pradesh,Barley (Jau),01-01-2003,680,720,700
Uttar Pradesh,Rice,01-01-2003,900,950,920
Uttar Pradesh,Wheat,01-01-2003,645,680,665
Uttar Pradesh,Wheat,02-01-2003,650,700,670
Uttar Pradesh,Barley (Jau),02-01-2003,685,715,700
Uttar Pradesh,Rice,02-01-2003,900,945,925
Uttar Pradesh,Barley (Jau),03-01-2003,690,720,700
Uttar Pradesh,Rice,03-01-2003,900,950,930
Uttar Pradesh,Wheat,03-01-2003,650,700,670
Uttar Pradesh,Barley (Jau),04-01-2003,700,730,710
Uttar Pradesh,Rice,04-01-2003,850,950,930
Uttar Pradesh,Wheat,04-01-2003,650,690,670
Maharashtra,Wheat,04-01-2003,851,951,900
Maharashtra,Bajra(Pearl Millet/Cumbu),04-01-2003,500,585,545
Uttar Pradesh,Wheat,06-01-2003,655,680,665
Uttar Pradesh,Barley (Jau),06-01-2003,700,730,715
Uttar Pradesh,Rice,06-01-2003,900,950,925
Maharashtra,Wheat,06-01-2003,801,950,875
Maharashtra,Bajra(Pearl Millet/Cumbu),06-01-2003,551,651,600
Uttar Pradesh,Barley (Jau),07-01-2003,680,730,700
Uttar Pradesh,Rice,07-01-2003,900,940,920
Uttar Pradesh,Wheat,07-01-2003,650,680,670
Maharashtra,Wheat,07-01-2003,801,951,875
Maharashtra,Bajra(Pearl Millet/Cumbu),07-01-2003,525,600,570
Uttar Pradesh,Barley (Jau),08-01-2003,670,720,700
Uttar Pradesh,Wheat,08-01-2003,655,685,670
Uttar Pradesh,Rice,08-01-2003,900,940,920
Maharashtra,Bajra(Pearl Millet/Cumbu),08-01-2003,525,651,585
Maharashtra,Wheat,08-01-2003,731,1000,865
Uttar Pradesh,Barley (Jau),09-01-2003,700,735,725
Uttar Pradesh,Wheat,09-01-2003,660,700,675
Uttar Pradesh,Bajra(Pearl Millet/Cumbu),09-01-2003,510,535,525
Uttar Pradesh,Rice,09-01-2003,850,950,925
Uttar Pradesh,Wheat,10-01-2003,680,725,695
Uttar Pradesh,Bajra(Pearl Millet/Cumbu),10-01-2003,500,540,525
Uttar Pradesh,Rice,10-01-2003,850,975,925
Uttar Pradesh,Barley (Jau),10-01-2003,700,740,725
Maharashtra,Bajra(Pearl Millet/Cumbu),10-01-2003,551,650,600
Maharashtra,Wheat,10-01-2003,735,1050,880
Uttar Pradesh,Rice,11-01-2003,900,950,920
Uttar Pradesh,Wheat,11-01-2003,670,710,690
Uttar Pradesh,Barley (Jau),11-01-2003,700,725,715
Maharashtra,Wheat,11-01-2003,750,1025,885
Maharashtra,Bajra(Pearl Millet/Cumbu),11-01-2003,535,621,575
Uttar Pradesh,Wheat,13-01-2003,685,700,695
Uttar Pradesh,Barley (Jau),13-01-2003,700,730,715
Uttar Pradesh,Rice,13-01-2003,900,950,925
Maharashtra,Bajra(Pearl Millet/Cumbu),13-01-2003,531,681,606
Maharashtra,Wheat,13-01-2003,800,931,865
Uttar Pradesh,Rice,14-01-2003,850,950,925
