State,Commodity,Arrival_Date,Min_Price,Max_Price,Modal_Price
Uttar Pradesh,Papaya,06-11-2002,900,960,950
Uttar Pradesh,Apple,06-11-2002,2000,2350,2200
Uttar Pradesh,Banana,06-11-2002,460,525,500
Uttar Pradesh,Banana,23-11-2002,475,560,540
Uttar Pradesh,Apple,23-11-2002,2650,3200,3000
Uttar Pradesh,Papaya,23-11-2002,850,1000,900
Uttar Pradesh,Apple,27-11-2002,2850,3200,3000
Uttar Pradesh,Banana,27-11-2002,500,570,550
Uttar Pradesh,Papaya,27-11-2002,840,950,900
Uttar Pradesh,Papaya,03-12-2002,650,925,900
Uttar Pradesh,Apple,03-12-2002,2400,2800,2600
Uttar Pradesh,Banana,03-12-2002,500,560,550
Uttar Pradesh,Banana,06-12-2002,500,560,550
Uttar Pradesh,Papaya,06-12-2002,850,950,900
Uttar Pradesh,Apple,10-12-2002,2000,2500,2400
Uttar Pradesh,Banana,10-12-2002,500,575,560
Uttar Pradesh,Papaya,10-12-2002,800,950,925
Maharashtra,Papaya,30-12-2002,2,8,5.5
Uttar Pradesh,Apple,02-01-2003,2200,2800,2500
Uttar Pradesh,Papaya,02-01-2003,675,750,700
Uttar Pradesh,Papaya,03-01-2003,675,750,700
Uttar Pradesh,Apple,03-01-2003,2200,3000,2800
Uttar Pradesh,Papaya,04-01-2003,675,750,700
Uttar Pradesh,Apple,04-01-2003,2200,3000,2800
Uttar Pradesh,Papaya,06-01-2003,650,700,675
Uttar Pradesh,Apple,06-01-2003,2200,3000,2800
Uttar Pradesh,Apple,07-01-2003,2200,3000,2800
Uttar Pradesh,Apple,08-01-2003,2200,3000,2800
Uttar Pradesh,Apple,09-01-2003,2600,3200,3000
Uttar Pradesh,Papaya,09-01-2003,650,700,675
Uttar Pradesh,Apple,11-01-2003,2200,3000,2800
Uttar Pradesh,Apple,13-01-2003,2200,3000,2700
Uttar Pradesh,Papaya,13-01-2003,650,750,700
Uttar Pradesh,Papaya,14-01-2003,650,750,700
Uttar Pradesh,Apple,14-01-2003,2700,2800,2750
Uttar Pradesh,Papaya,15-01-2003,725,800,750
Uttar Pradesh,Apple,15-01-2003,2200,2800,2750
Uttar Pradesh,Apple,16-01-2003,2300,2800,2700
Uttar Pradesh,Papaya,16-01-2003,700,800,750
Uttar Pradesh,Apple,17-01-2003,2200,3000,2700
Uttar Pradesh,Papaya,17-01-2003,725,800,750
Uttar Pradesh,Apple,18-01-2003,2200,3000,2800
Uttar Pradesh,Papaya,20-01-2003,700,900,800
Uttar Pradesh,Apple,20-01-2003,2400,3000,2800
Maharashtra,Pineapple,20-01-2003,1100,1200,1150
Uttar Pradesh,Apple,21-01-2003,2200,3000,2800
Uttar Pradesh,Papaya,21-01-2003,750,850,800
Uttar Pradesh,Papaya,22-01-2003,750,850,800
Uttar Pradesh,Apple,22-01-2003,2300,3000,2800
Uttar Pradesh,Apple,23-01-2003,2300,3000,2800
Uttar Pradesh,Papaya,23-01-2003,800,850,825
Uttar Pradesh,Apple,24-01-2003,2500,3000,2800
Uttar Pradesh,Papaya,24-01-2003,800,900,825
Uttar Pradesh,Apple,25-01-2003,2500,3000,2800
