State,Commodity,Arrival_Date,Min_Price,Max_Price,Modal_Price
Uttar Pradesh,Mustard,10-01-2015,3600,3640,3620
Uttar Pradesh,Mustard,16-01-2015,3550,3570,3560
Uttar Pradesh,Mustard,02-02-2015,3370,3400,3390
Uttar Pradesh,Mustard,12-02-2015,3365,3400,3380
Uttar Pradesh,Mustard,17-02-2015,3380,3420,3400
Uttar Pradesh,Mustard,20-02-2015,3415,3450,3425
Uttar Pradesh,Mustard,21-02-2015,3420,3460,3440
Uttar Pradesh,Mustard,24-02-2015,3420,3445,3430
Uttar Pradesh,Mustard,11-03-2015,3440,3460,3450
Uttar Pradesh,Mustard,13-03-2015,3360,3420,3400
Uttar Pradesh,Mustard,18-03-2015,3350,3370,3360
Uttar Pradesh,Mustard,20-03-2015,3310,3330,3320
Uttar Pradesh,Mustard,24-03-2015,3315,3335,3325
Uttar Pradesh,Mustard,03-04-2015,3250,3270,3260
Uttar Pradesh,Mustard,15-04-2015,0,0,3475
Uttar Pradesh,Mustard,20-04-2015,0,0,3350
Uttar Pradesh,Mustard,23-04-2015,0,0,3440
Uttar Pradesh,Mustard,24-04-2015,2200,2600,2400
Uttar Pradesh,Mustard,01-05-2015,0,0,3520
Uttar Pradesh,Mustard,05-05-2015,0,0,3470
Uttar Pradesh,Mustard,09-05-2015,0,0,3450
Uttar Pradesh,Mustard,11-05-2015,0,0,3445
Uttar Pradesh,Mustard,14-05-2015,3400,3440,3425
Uttar Pradesh,Mustard,25-05-2015,0,0,3560
Uttar Pradesh,Mustard,28-05-2015,3590,3620,3600
Uttar Pradesh,Mustard,01-06-2015,3680,3720,3690
Uttar Pradesh,Mustard,02-06-2015,3680,3725,3700
Uttar Pradesh,Mustard,10-06-2015,3730,3780,3750
Uttar Pradesh,Mustard,12-06-2015,3835,3900,3865
Uttar Pradesh,Mustard,15-06-2015,3900,3965,3950
Uttar Pradesh,Mustard,16-07-2015,0,0,3945
Uttar Pradesh,Mustard,23-07-2015,0,0,3925
Uttar Pradesh,Mustard,29-07-2015,0,0,3935
Uttar Pradesh,Mustard,30-07-2015,0,0,3930
Uttar Pradesh,Mustard,01-08-2015,0,0,3960
Uttar Pradesh,Mustard,03-08-2015,0,0,3950
Uttar Pradesh,Mustard,13-08-2015,0,0,3955
Uttar Pradesh,Mustard,20-08-2015,0,0,3970
Uttar Pradesh,Mustard,21-08-2015,0,0,3950
Uttar Pradesh,Mustard,26-08-2015,0,0,3975
Uttar Pradesh,Mustard,15-09-2015,0,0,3850
Uttar Pradesh,Mustard,18-09-2015,0,0,3875
Uttar Pradesh,Mustard,01-10-2015,0,0,3950
Uttar Pradesh,Mustard,09-10-2015,0,0,3985
Uttar Pradesh,Mustard,10-10-2015,0,0,4000
Uttar Pradesh,Mustard,13-10-2015,0,0,4100
Uttar Pradesh,Mustard,27-10-2015,0,0,4330
Uttar Pradesh,Mustard,13-11-2015,0,0,4380
Uttar Pradesh,Mustard,28-11-2015,0,0,4330
Uttar Pradesh,Mustard,01-12-2015,0,0,4330
Uttar Pradesh,Mustard,12-12-2015,0,0,4345
Uttar Pradesh,Mustard,24-12-2015,0,0,4320
Uttar Pradesh,Mustard,28-12-2015,0,0,4320
Uttar Pradesh,Mustard,20-10-2014,3230,3380,3360
Uttar Pradesh,Mustard,12-11-2014,0,0,3165
Uttar Pradesh,Mustard,15-11-2014,0,0,3160
Uttar Pradesh,Mustard,03-12-2014,0,0,3210
Uttar Pradesh,Mustard,17-12-2014,0,0,3240
Uttar Pradesh,Mustard,25-12-2014,3570,3590,3580
Uttar Pradesh,Mustard,09-01-2014,3210,3230,3220
Uttar Pradesh,Mustard,13-01-2014,3210,3225,3215
Uttar Pradesh,Mustard,14-01-2014,3210,3230,3220
Uttar Pradesh,Mustard,16-01-2014,3190,3210,3200
Uttar Pradesh,Mustard,23-01-2014,3200,3220,3210
Uttar Pradesh,Mustard,30-01-2014,3210,3230,3220
Uttar Pradesh,Mustard,05-02-2014,3220,3230,3225
Uttar Pradesh,Mustard,13-02-2014,3165,3185,3175
Uttar Pradesh,Mustard,21-02-2014,3155,3175,3165
Uttar Pradesh,Mustard,22-02-2014,3165,3185,3175
Uttar Pradesh,Mustard,26-02-2014,3155,3175,3165
Uttar Pradesh,Mustard,27-02-2014,3145,3165,3155
Uttar Pradesh,Mustard,01-03-2014,3170,3190,3180
Uttar Pradesh,Mustard,06-03-2014,3190,3210,3200
