State,Commodity,Date,Predicted_Modal_Price
Haryana,Wheat,2024-05-19,2527.37
Haryana,Wheat,2024-05-20,2527.13
Haryana,Wheat,2024-05-21,2532.17
Haryana,Wheat,2024-05-22,2533.61
Haryana,Wheat,2024-05-23,2535.27
Haryana,Wheat,2024-05-24,2536.78
Haryana,Wheat,2024-05-25,2537.23
Haryana,Wheat,2024-05-26,2538.29
Haryana,Wheat,2024-05-27,2536.09
Haryana,Wheat,2024-05-28,2531.95
Madhya Pradesh,Wheat,2024-10-11,2807.58
Madhya Pradesh,Wheat,2024-10-12,2811.37
Madhya Pradesh,Wheat,2024-10-13,2820.59
Madhya Pradesh,Wheat,2024-10-14,2862.14
Madhya Pradesh,Wheat,2024-10-15,2893.09
Madhya Pradesh,Wheat,2024-10-16,2898.52
Madhya Pradesh,Wheat,2024-10-17,2949.25
Madhya Pradesh,Wheat,2024-10-18,2990.25
Madhya Pradesh,Wheat,2024-10-19,2997.50
Madhya Pradesh,Wheat,2024-10-20,2989.12
Maharashtra,Wheat,2024-10-10,3085.16
Maharashtra,Wheat,2024-10-11,3060.38
Maharashtra,Wheat,2024-10-12,3038.75
Maharashtra,Wheat,2024-10-13,3033.67
Maharashtra,Wheat,2024-10-14,2995.72
Maharashtra,Wheat,2024-10-15,2991.38
Maharashtra,Wheat,2024-10-16,2975.34
Maharashtra,Wheat,2024-10-17,2958.43
Maharashtra,Wheat,2024-10-18,2962.75
Maharashtra,Wheat,2024-10-19,2932.63
Punjab,Paddy(Dhan)(Basmati),2023-12-03,4333.04
Punjab,Paddy(Dhan)(Basmati),2023-12-04,4338.14
Punjab,Paddy(Dhan)(Basmati),2023-12-05,4372.30
Punjab,Paddy(Dhan)(Basmati),2023-12-06,4376.28
Punjab,Paddy(Dhan)(Basmati),2023-12-07,4397.77
Punjab,Paddy(Dhan)(Basmati),2023-12-08,4350.70
Punjab,Paddy(Dhan)(Basmati),2023-12-09,4365.61
Punjab,Paddy(Dhan)(Basmati),2023-12-10,4331.01
Punjab,Paddy(Dhan)(Basmati),2023-12-11,4325.89
Punjab,Paddy(Dhan)(Basmati),2023-12-12,4292.69
Uttar Pradesh,Barley (Jau),2024-10-11,2648.12
Uttar Pradesh,Barley (Jau),2024-10-12,2646.78
Uttar Pradesh,Barley (Jau),2024-10-13,2658.11
Uttar Pradesh,Barley (Jau),2024-10-14,2676.55
Uttar Pradesh,Barley (Jau),2024-10-15,2669.14
Uttar Pradesh,Barley (Jau),2024-10-16,2663.80
Uttar Pradesh,Barley (Jau),2024-10-17,2662.35
Uttar Pradesh,Barley (Jau),2024-10-18,2661.29
Uttar Pradesh,Barley (Jau),2024-10-19,2656.59
Uttar Pradesh,Barley (Jau),2024-10-20,2648.97
Uttar Pradesh,Rice,2024-10-11,3524.90
Uttar Pradesh,Rice,2024-10-12,3511.70
Uttar Pradesh,Rice,2024-10-13,3498.29
Uttar Pradesh,Rice,2024-10-14,3521.90
Uttar Pradesh,Rice,2024-10-15,3512.83
Uttar Pradesh,Rice,2024-10-16,3495.99
Uttar Pradesh,Rice,2024-10-17,3502.39
Uttar Pradesh,Rice,2024-10-18,3452.39
Uttar Pradesh,Rice,2024-10-19,3428.55
Uttar Pradesh,Rice,2024-10-20,3405.24
Uttar Pradesh,Wheat,2024-10-11,2920.62
Uttar Pradesh,Wheat,2024-10-12,2929.19
Uttar Pradesh,Wheat,2024-10-13,2930.35
Uttar Pradesh,Wheat,2024-10-14,2936.44
Uttar Pradesh,Wheat,2024-10-15,2923.79
Uttar Pradesh,Wheat,2024-10-16,2911.51
Uttar Pradesh,Wheat,2024-10-17,2909.40
Uttar Pradesh,Wheat,2024-10-18,2904.41
Uttar Pradesh,Wheat,2024-10-19,2892.66
Uttar Pradesh,Wheat,2024-10-20,2893.12
